ZYYJ	延吉
ZYTX	沈阳
ZYTN	通化
ZYTL	大连
ZYSQ	松原
ZYQQ	齐齐哈尔
ZYMH	漠河
ZYMD	牡丹江
ZYLD	伊春
ZYJZ	锦州
ZYJX	鸡西
ZYJM	佳木斯
ZYJD	加格达齐
ZYHE	黑河
ZYHB	哈尔滨
ZYDU	五大连池
ZYDQ	大庆
ZYDD	丹东
ZYCY	朝阳
ZYCH	长海
ZYCC	长春
ZYBS	白山
ZYBA	白城
ZYAS	鞍山
ZWYN	伊宁
ZWWW	乌鲁木齐
ZWTN	和田
ZWTL	吐鲁番
ZWTC	塔城
ZWSH	喀什
ZWSC	莎车
ZWNL	新源
ZWKN	布尔津
ZWKM	克拉玛依
ZWKL	库尔勒
ZWKC	库车
ZWHZ	石河子
ZWHM	哈密
ZWFY	富蕴
ZWCM	且末
ZWBL	博乐
ZWAT	阿勒泰
ZWAK	阿克苏
ZUZY	遵义新舟
ZUZH	攀枝花
ZUYI	兴义
ZUYB	宜宾
ZUXJ	新津
ZUXC	西昌
ZUWX	万州
ZUUU	成都
ZUTR	铜仁
ZUSN	遂宁
ZUQJ	黔江
ZUNZ	林芝
ZUNP	黎平
ZUNC	南充
ZUMY	绵阳
ZUMT	遵义茅台
ZULZ	泸州
ZULS	拉萨
ZULB	荔波
ZUKJ	凯里
ZUKD	康定
ZUJZ	九寨
ZUGY	贵阳
ZUGU	广元
ZUGH	广汉
ZUDX	达州
ZUDC	稻城
ZUCK	重庆
ZUBJ	毕节
ZUBD	昌都
ZUAS	安顺
ZSZS	舟山
ZSYW	义乌
ZSYT	烟台
ZSYN	盐城
ZSYC	宜春
ZSYA	扬州
ZSXZ	徐州
ZSWZ	温州
ZSWY	武夷山
ZSWX	无锡
ZSWH	威海
ZSWF	潍坊
ZSTX	黄山
ZSSS	上海虹桥
ZSSR	上饶
ZSSM	三明
ZSSL	上海龙华
ZSSH	淮安
ZSRZ	日照
ZSQZ	泉州
ZSQD	青岛
ZSPD	上海浦东
ZSOF	合肥
ZSNT	南通
ZSNJ	南京
ZSNB	宁波
ZSLY	临沂
ZSLQ	台州
ZSLO	连城
ZSLG	连云港
ZSJU	衢州
ZSJN	济南
ZSJJ	九江
ZSJH	池州
ZSJG	济宁
ZSJD	景德镇
ZSHC	杭州
ZSGZ	赣州
ZSGS	井冈山
ZSFZ	福州
ZSFY	阜阳
ZSDY	东营
ZSCN	南昌
ZSCG	常州
ZSAQ	安庆
ZSAM	厦门
ZPZT	昭通
ZPWS	文山
ZPSM	普洱
ZPPP	昆明
ZPNL	宁蒗
ZPMS	德宏
ZPLJ	丽江
ZPLC	临沧
ZPJH	西双版纳
ZPDQ	迪庆
ZPDL	大理
ZPBS	保山
ZMUB	乌兰巴托
ZLZY	张掖
ZLZW	中卫
ZLYS	玉树
ZLYL	榆林
ZLYA	延安
ZLXY	西安
ZLXN	西宁
ZLXH	甘南
ZLTS	天水
ZLQY	庆阳
ZLLL	兰州
ZLJQ	嘉峪关
ZLJC	金昌
ZLIC	银川
ZLHZ	汉中
ZLGY	固原
ZLGM	格尔木
ZLDH	敦煌
ZLAK	安康
ZKPY	平壤
ZJSY	三亚
ZJQH	琼海
ZJHK	海口
ZHYC	宜昌
ZHXF	襄阳
ZHSY	十堰
ZHSN	神农架
ZHNY	南阳
ZHLY	洛阳
ZHHH	武汉
ZHES	恩施
ZHCC	郑州
ZGZJ	湛江
ZGZH	柳州
ZGYY	岳阳
ZGYJ	阳江
ZGWZ	梧州
ZGUH	九州
ZGSZ	深圳
ZGSD	珠海
ZGOW	揭阳
ZGNN	南宁
ZGMX	梅县
ZGLG	永州
ZGLD	罗定
ZGKL	桂林
ZGHZ	惠州
ZGHY	衡阳
ZGHA	长沙
ZGGG	广州
ZGDY	张家界
ZGCJ	怀化
ZGCD	常德
ZGBS	百色
ZGBH	北海
ZBZL	扎兰屯
ZBZJ	张家口
ZBYZ	天吉泰
ZBYN	太原
ZBYC	运城
ZBXZ	忻州
ZBXH	锡林浩特
ZBUL	乌兰浩特
ZBUH	乌海
ZBUC	乌兰察布
ZBTL	通辽
ZBTJ	天津
ZBSN	唐山
ZBSJ	石家庄
ZBOW	包头
ZBMZ	满洲里
ZBLL	吕梁
ZBLF	临汾
ZBLA	呼伦贝尔
ZBHZ	霍林郭勒
ZBHH	呼和浩特
ZBHD	邯郸
ZBES	阿尔山
ZBER	二连浩特
ZBEN	额济纳旗
ZBDT	大同
ZBDS	鄂尔多斯
ZBDH	秦皇岛
ZBCZ	长治
ZBCF	赤峰
ZBCD	承德
